zip,state,city,street1,street2
03195,Seoul,Jongno-gu,,Dongho-ro
03195,Seoul,Jongno-gu,,Jong-ro 32-gil
03124,Seoul,Jongno-gu,,Jong-ro
03099,Seoul,Jongno-gu,,Yulgok-ro 29-gil
03142,Seoul,Jongno-gu,,Jong-ro 1-gil
03043,Seoul,Jongno-gu,,Jahamun-ro
03094,Seoul,Jongno-gu,,Jibong-ro 17-gil
03089,Seoul,Jongno-gu,,Changsin 9-gil
03090,Seoul,Jongno-gu,,Changsin 8-gil
03102,Seoul,Jongno-gu,,Changsin 5ga-gil
03040,Seoul,Jongno-gu,,Jahamun-ro 9-gil
03004,Seoul,Jongno-gu,,Pyeongchang 30-gil
03003,Seoul,Jongno-gu,,Pyeongchang 7-gil
03011,Seoul,Jongno-gu,,Pyeongchangmunhwa-ro
03009,Seoul,Jongno-gu,,Pyeongchangmunhwa-ro
03005,Seoul,Jongno-gu,,Pyeongchang 20-gil
03021,Seoul,Jongno-gu,,Jahamun-ro 45-gil
03126,Seoul,Jongno-gu,,Jong-ro 35ga-gil
04528,Seoul,Jung-gu,,Sejong-daero
04629,Seoul,Jung-gu,,Toegye-ro 18-gil
04629,Seoul,Jung-gu,,Sopa-ro
04635,Seoul,Jung-gu,,Toegye-ro 4-gil
04528,Seoul,Jung-gu,,Sowol-ro
04521,Seoul,Jung-gu,,Eulji-ro 1-gil
04500,Seoul,Jung-gu,,Mallijae-ro 27-gil
04534,Seoul,Jung-gu,,Myeongdong 3-gil
04536,Seoul,Jung-gu,,Myeongdong 2-gil
04537,Seoul,Jung-gu,,Myeongdong 8ga-gil
04521,Seoul,Jung-gu,,Mugyo-ro
04546,Seoul,Jung-gu,,Dongho-ro
04509,Seoul,Jung-gu,,Chilpae-ro
04544,Seoul,Jung-gu,,Eulji-ro 19-gil
04531,Seoul,Jung-gu,,Namdaemun-ro 5-gil
04542,Seoul,Jung-gu,,Samil-daero 12-gil
04590,Seoul,Jung-gu,,Dasan-ro 24-gil
04612,Seoul,Jung-gu,,Dasan-ro 39-gil
04594,Seoul,Jung-gu,,Dongho-ro 8ga-gil
04589,Seoul,Jung-gu,,Dasan-ro
04600,Seoul,Jung-gu,,Dasan-ro 5-gil
04602,Seoul,Jung-gu,,Dongho-ro 11ba-gil
04584,Seoul,Jung-gu,,Toegye-ro 88da-gil
04602,Seoul,Jung-gu,,Dongho-ro 11na-gil
04599,Seoul,Jung-gu,,Dongho-ro 11da-gil
04610,Seoul,Jung-gu,,Dasan-ro 33-gil
04591,Seoul,Jung-gu,,Dasan-ro 16-gil
04606,Seoul,Jung-gu,,Jangchungdan-ro 8-gil
04590,Seoul,Jung-gu,,Dasan-ro 20-gil
04568,Seoul,Jung-gu,,Majang-ro
04615,Seoul,Jung-gu,,Toegye-ro 52-gil
04626,Seoul,Jung-gu,,Pildong-ro 8ga-gil
04628,Seoul,Jung-gu,,Sopa-ro 2-gil
04542,Seoul,Jung-gu,,Samil-daero
04549,Seoul,Jung-gu,,Chungmu-ro
04562,Seoul,Jung-gu,,Eulji-ro
04616,Seoul,Jung-gu,,Dongho-ro 24-gil
04621,Seoul,Jung-gu,,Jangchungdan-ro
04555,Seoul,Jung-gu,,Supyo-ro 10-gil
04551,Seoul,Jung-gu,,Supyo-ro
04516,Seoul,Jung-gu,,Jeongdong-gil
04546,Seoul,Jung-gu,,Changgyeonggung-ro 8-gil
04506,Seoul,Jung-gu,,Jungnim-ro 7-gil
04537,Seoul,Jung-gu,,Samil-daero
04553,Seoul,Jung-gu,,Samil-daero
04634,Seoul,Jung-gu,,Toegye-ro 8-gil
04631,Seoul,Jung-gu,,Sogong-ro
04633,Seoul,Jung-gu,,Sogong-ro 1-gil
02057,Seoul,Jungnang-gu,,Yongmasan-ro 136-gil
02171,Seoul,Jungnang-gu,,Bongujae-ro 57ga-gil
02175,Seoul,Jungnang-gu,,Yongmasan-ro 99-gil
02178,Seoul,Jungnang-gu,,Mangu-ro 76-gil
02181,Seoul,Jungnang-gu,,Yongmagongwon-ro 3-gil
02181,Seoul,Jungnang-gu,,Yongmasan-ro
02061,Seoul,Jungnang-gu,,Yangwonyeok-ro
02170,Seoul,Jungnang-gu,,Bongujae-ro
02060,Seoul,Jungnang-gu,,Yongmasan-ro 120-gil
02185,Seoul,Jungnang-gu,,Yongmagongwon-ro
02171,Seoul,Jungnang-gu,,Bongujae-ro 57-gil
02186,Seoul,Jungnang-gu,,Yongmagongwon-ro 13-gil
02200,Seoul,Jungnang-gu,,Gyeomjae-ro
02203,Seoul,Jungnang-gu,,Gyeomjae-ro 54-gil
02129,Seoul,Jungnang-gu,,Bongujae-ro 13-gil
